,# of Dialysis Stations,Offers in-center hemodialysis,Offers in-center peritoneal dialysis,Offers home hemodialysis training,Percentage of Medicare patients with Hgb<10 g/dL,Percentage of Medicare patients with Hgb>12 g/dL,Number of Dialysis Patients with Hgb data,Percent of Adult HD patients with Kt/V >= 1.2,Percentage of Adult PD PTS with Kt/V >= 1.7,Percentage of Pediatric HD patients with Kt/V >= 1.2,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL,Percentage of pediatric PD patients with Kt/V>=1.8,Fistula Rate (Facility),Percentage of Adult patients with long term catheter in use,Percentage of pediatric HD patients with nPCR,Readmission Rate (Facility),Mortality Rate (Facility),risk_zone
6752,7,1,0,0,17.0,0.0,18.0,100.0,90.74918566775244,95.21428571428571,2.0,7.0,20.0,22.0,31.0,20.0,71.35483870967742,77.0,6.0,95.875,11.3,13.4,1
6753,25,1,1,0,12.0,0.0,66.0,98.0,90.74918566775244,95.21428571428571,1.0,11.0,28.0,28.0,21.0,13.0,71.35483870967742,67.0,10.0,95.875,28.1,19.1,1
6754,9,1,1,1,17.60762331838565,0.22266298723697828,0.0,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
6755,20,1,0,0,10.0,2.0,41.0,95.0,90.74918566775244,95.21428571428571,2.0,10.0,20.0,27.0,28.0,16.0,71.35483870967742,56.0,6.0,95.875,35.1,19.9,2
6756,16,1,1,1,5.0,0.0,22.0,96.0,82.0,95.21428571428571,2.0,11.0,25.0,28.0,22.0,15.0,71.35483870967742,48.0,11.0,95.875,26.3,24.1,1
6757,21,1,1,0,14.0,2.0,51.0,100.0,98.0,95.21428571428571,0.0,7.0,23.0,29.0,30.0,12.0,71.35483870967742,56.0,9.0,95.875,23.9,23.9,1
6758,10,1,0,0,17.60762331838565,0.22266298723697828,9.0,93.0,90.74918566775244,95.21428571428571,5.0,6.0,24.0,27.0,29.0,13.0,71.35483870967742,77.0,4.0,95.875,29.9,15.7,1
6759,17,1,1,1,19.0,0.0,31.0,96.0,99.0,95.21428571428571,1.0,8.0,28.0,32.0,20.0,13.0,71.35483870967742,67.0,11.0,95.875,29.5,23.8,1
6760,10,1,1,0,17.60762331838565,0.22266298723697828,0.0,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
6761,25,1,1,1,15.0,0.0,59.0,96.0,99.0,95.21428571428571,1.0,10.0,25.0,27.0,25.0,13.0,71.35483870967742,68.0,12.0,95.875,26.6,19.8,1
6762,22,1,0,0,6.0,0.0,49.0,98.0,90.74918566775244,95.21428571428571,0.0,7.0,28.0,35.0,20.0,11.0,71.35483870967742,70.0,15.0,95.875,31.2,16.6,2
6763,12,1,0,0,25.0,0.0,20.0,99.0,90.74918566775244,95.21428571428571,2.0,13.0,37.0,34.0,14.0,3.0,71.35483870967742,73.0,18.0,95.875,17.2,17.3,1
6764,15,1,0,0,13.0,0.0,32.0,98.0,90.74918566775244,95.21428571428571,0.0,5.0,18.0,38.0,20.0,18.0,71.35483870967742,76.0,8.0,95.875,25.7,23.5,1
6765,16,1,0,0,17.60762331838565,0.22266298723697828,49.0,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
6766,54,1,1,1,16.0,0.0,161.0,98.0,66.0,95.21428571428571,2.0,10.0,23.0,28.0,26.0,14.0,71.35483870967742,64.0,14.0,95.875,27.1,21.1,1
6767,20,1,0,0,17.60762331838565,0.22266298723697828,15.0,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
6768,24,1,0,0,19.0,0.0,37.0,99.0,100.0,95.21428571428571,0.0,5.0,22.0,37.0,18.0,18.0,71.35483870967742,66.0,6.0,95.875,11.7,30.9,1
6769,10,1,1,0,13.0,0.0,15.0,96.0,95.0,95.21428571428571,0.0,8.0,29.0,28.0,20.0,14.0,71.35483870967742,62.0,18.0,95.875,23.1,20.8,1
6770,7,1,0,0,17.60762331838565,0.22266298723697828,0.0,97.0,90.74918566775244,95.21428571428571,0.0,1.0,35.0,30.0,21.0,13.0,71.35483870967742,37.0,38.0,95.875,26.72686037126708,21.716423297785052,1
6771,16,1,1,0,0.0,0.0,39.0,98.0,90.74918566775244,95.21428571428571,0.0,12.0,25.0,28.0,25.0,10.0,71.35483870967742,64.0,13.0,95.875,31.2,15.8,2
6772,12,1,1,1,15.0,0.0,13.0,94.0,90.74918566775244,95.21428571428571,1.0,8.0,24.0,25.0,30.0,12.0,71.35483870967742,44.0,23.0,95.875,15.5,22.2,1
6773,15,1,1,1,21.0,0.0,52.0,97.0,90.74918566775244,95.21428571428571,2.0,11.0,28.0,34.0,13.0,14.0,71.35483870967742,72.0,13.0,95.875,37.1,20.2,2
6774,14,1,1,1,42.0,0.0,19.0,97.0,90.74918566775244,95.21428571428571,1.0,6.0,19.0,23.0,28.0,24.0,71.35483870967742,65.0,23.0,95.875,7.2,21.3,1
6775,1,0,1,0,27.0,0.0,11.0,95.98320456835741,80.0,95.21428571428571,49.0,9.0,27.0,27.0,26.0,11.0,71.35483870967742,63.26854891661195,12.24376231122784,95.875,37.8,34.7,2
6776,12,1,0,0,12.0,0.0,49.0,98.0,90.74918566775244,95.21428571428571,2.0,9.0,30.0,35.0,14.0,11.0,71.35483870967742,69.0,4.0,95.875,17.0,25.6,1
6777,27,1,0,0,10.0,1.0,69.0,96.0,90.74918566775244,95.21428571428571,2.0,9.0,24.0,38.0,14.0,14.0,71.35483870967742,73.0,7.0,95.875,32.8,19.4,2
6778,17,1,0,0,17.60762331838565,0.22266298723697828,8.0,97.0,90.74918566775244,95.21428571428571,0.0,10.0,22.0,35.0,22.0,11.0,71.35483870967742,49.0,13.0,95.875,28.2,27.1,1
6779,28,1,1,1,23.0,0.0,84.0,96.0,96.0,95.21428571428571,1.0,5.0,23.0,33.0,23.0,14.0,71.35483870967742,46.0,22.0,95.875,25.1,19.0,1
6780,16,1,1,1,15.0,0.0,20.0,95.0,90.74918566775244,95.21428571428571,2.0,11.0,30.0,24.0,22.0,13.0,71.35483870967742,58.0,18.0,95.875,39.3,21.9,2
6781,2,0,0,1,17.60762331838565,0.22266298723697828,1.0,95.98320456835741,90.74918566775244,95.21428571428571,35.0,21.0,39.0,30.0,0.0,9.0,71.35483870967742,24.0,23.0,95.875,31.3,21.716423297785052,2
6782,17,1,0,0,15.0,0.0,40.0,96.0,90.74918566775244,95.21428571428571,0.0,8.0,23.0,30.0,29.0,11.0,71.35483870967742,64.0,12.0,95.875,19.9,26.3,1
